2017,8,627.8
2017,9,1071
2017,10,1555
2017,11,2413
2017,12,2151
2018,1,2219
2018,2,2184
2018,3,2334
2018,4,2344
2018,5,1497
2018,6,315.3
2018,7,151.6
2018,8,187.1
2018,9,814
2018,10,1230
2018,11,1490
2018,12,1560
