 98 12 06 09    -17.1    -15.6    -16.1    -16.9    -15.6 
 98 12 06 23    -11.1    -12.8    -14.4    -17.9    -15.6 
 98 12 06 00    -16.6    -15.0    -17.8    -19.4    -17.2 
 98 12 06 20     -7.4    -10.6    -12.2    -11.4    -13.9 
 98 12 06 10    -16.7    -15.0    -16.1    -16.8    -15.0 
 98 12 07 04    -13.6    -14.4    -16.1    -19.3    -17.8 
 98 12 07 12    -14.1    -15.0    -16.7    -20.2    -17.8 
 98 12 07 21    -10.6    -11.7    -14.4    -17.1    -16.1 
 98 12 07 19    -10.7    -11.7    -14.4    -17.2    -17.2 
 98 12 07 17    -13.5    -11.7    -17.2    -19.5    -17.8 
 98 12 07 08    -13.9    -14.4    -16.7    -19.9    -17.8 
 98 12 07 18    -12.4    -12.2    -16.1    -18.3    -17.8 
 98 12 07 20    -10.6    -11.7    -14.4    -17.2    -16.1 
 98 12 07 03    -13.2    -13.9    -15.6    -19.1    -17.8 
 98 12 07 10    -13.9    -15.0    -16.7    -20.2    -18.3 
 98 12 07 07    -13.7    -14.4    -16.1    -19.8    -17.8 
 98 12 07 15    -16.3    -15.6    -17.8    -20.9    -18.9 
 98 12 07 01    -12.8    -13.3    -15.0    -18.6    -17.2 
 98 12 07 23    -11.5    -12.2    -15.6    -17.8    -16.7 
 98 12 07 11    -13.8    -14.4    -16.7    -20.1    -17.8 
 98 12 07 16    -14.9    -14.4    -17.8    -20.5    -18.3 
 98 12 07 22    -11.1    -12.2    -14.4    -17.7    -16.1 
 98 12 07 00    -11.9    -13.3    -15.0    -18.4    -16.7 
 98 12 07 14    -15.0    -15.6    -17.2    -20.7    -18.3 
 98 12 07 02    -12.9    -13.9    -15.6    -18.8    -17.2 
 98 12 07 06    -13.6    -14.4    -16.1    -19.6    -17.8 
 98 12 07 09    -14.0    -15.0    -16.7    -20.1    -17.8 
 98 12 07 13    -14.3    -15.0    -16.7    -20.3    -18.3 
 98 12 07 05    -13.6    -14.4    -16.1    -19.6    -17.8 
 98 12 08 06    -16.0    -13.9    -14.4    -12.1    -11.1 
 98 12 08 18     -5.1     -4.4     -7.2    -10.4    -10.0 
 98 12 08 01    -15.6    -16.1    -17.2    -18.6    -17.8 
 98 12 08 00    -11.9    -13.3    -16.7    -18.7    -17.8 
 98 12 08 10    -12.4    -10.0    -10.0    -11.4    -10.0 
 98 12 08 21     -3.6     -5.6     -6.1    -10.4     -9.4 
 98 12 08 17     -6.0     -6.7     -8.3    -11.1    -10.6 
 98 12 08 08    -13.7    -11.7    -11.1    -11.3    -10.0 
 98 12 08 19     -3.8     -4.4     -6.1    -10.2     -9.4 
 98 12 08 02    -17.7    -16.7    -17.8    -17.9    -17.2 
 98 12 08 16     -7.3     -7.8     -8.9    -11.6    -10.6 
 98 12 08 15     -8.4     -8.3     -8.9    -11.7    -10.6 
 98 12 08 13     -9.5     -8.3     -8.9    -11.3    -10.0 
 98 12 08 03    -18.0    -16.1    -17.2    -14.5    -15.6 
 98 12 08 05    -16.3    -14.4    -14.4    -12.2    -11.7 
 98 12 08 22     -4.2     -5.6     -7.2    -10.1     -9.4 
 98 12 08 11    -10.8     -9.4    -10.0    -11.7    -10.0 
 98 12 08 14     -9.2     -8.3     -9.4    -12.3    -11.1 
 98 12 08 09    -13.2    -11.1    -10.6    -12.0    -10.6 
 98 12 08 12     -9.8     -9.4    -10.0    -10.9    -10.0 
 98 12 08 04    -17.7    -16.1    -15.6    -11.9    -13.3 
